ProductID,Product Category,Product Sub-Category,Product Name,Product Container
1,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box
2,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum
3,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box
4,Technology,Telephones and Communication,R380,Small Box
5,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box
6,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack
7,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box
8,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box
9,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box
10,Office Supplies,Paper,Xerox 198,Small Box
11,Office Supplies,Paper,Xerox 1980,Small Box
12,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag
13,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack
14,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box
15,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag
16,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box
17,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box
18,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box
19,Technology,Telephones and Communication,g520,Small Box
20,Technology,Telephones and Communication,LX 788,Small Box
21,Office Supplies,Labels,Avery 52,Small Box
22,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag
23,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box
24,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack
25,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag
26,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag
27,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum
28,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box
29,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag
30,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack
